wiom_table,wiom_txn_id,wiom_date,wiom_amount,wiom_status,wiom_payment_flag,wiom_gateway,juspay_order_id,juspay_status,juspay_amount,juspay_gateway,juspay_date,mismatch_type,mismatch_reason,amount_diff
wiom_booking_transactions,custGen_9718194216_190026583_0,"Jan 8, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_9718194216_190026583_0,SUCCESS,10.0,PAYTM_V2,2026-01-08T14:39:43,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_8512091615_189516104_0,"Jan 2, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_8512091615_189516104_0,SUCCESS,10.0,PAYTM_V2,2026-01-02T16:51:44,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_9953475271_189611650_0,"Jan 3, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_9953475271_189611650_0,SUCCESS,10.0,PAYTM_V2,2026-01-03T19:24:10,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_8285079268_189596368_0,"Jan 3, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_8285079268_189596368_0,SUCCESS,10.0,PAYTM_V2,2026-01-03T15:09:28,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_9773655728_189671690_1,"Jan 4, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_9773655728_189671690_1,SUCCESS,10.0,PAYTM_V2,2026-01-04T12:04:50,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_8700800124_189605531_1,"Jan 3, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_8700800124_189605531_1,SUCCESS,10.0,PAYTM_V2,2026-01-03T17:42:11,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_7060617789_189684541_0,"Jan 4, 2026",25,TXN_SUCCESS,ONLINE,PTYBLC,custGen_7060617789_189684541_0,SUCCESS,10.0,PAYTM_V2,2026-01-04T15:39:01,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_8800694941_189670379_0,"Jan 4, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_8800694941_189670379_0,SUCCESS,10.0,PAYTM_V2,2026-01-04T11:42:59,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_9599467055_189770162_1,"Jan 5, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_9599467055_189770162_1,SUCCESS,10.0,PAYTM_V2,2026-01-05T15:26:02,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
wiom_booking_transactions,custGen_8851102143_189758328_0,"Jan 5, 2026",25,TXN_SUCCESS,ONLINE,PTYBLI,custGen_8851102143_189758328_0,SUCCESS,10.0,PAYTM_V2,2026-01-05T12:08:48,AMOUNT_MISMATCH,Wiom Rs25 vs Juspay Rs10.0 — PG promo/discount,-15.0
